"文章編號","Word標題","內容有差異","原HTML字數","Word字數"
"1-1","什麼都是可能的 ------一個上帝的故事","是","914","927"
"1-2","大梵之力(Brahma Shakti)","是","907","919"
"1-3","錫呂瑪塔吉關於 Vibration(能量)的一段談話","否","307","321"
"1-4","無所不在的神聖力量( Chaitanya)","否","572","582"
"1-5","為什麼 Shakti (力量) 是最重要的","是","1124","1154"
"1-6","過渡期(Krita Yuga, 或譯 ""成就期"")","是","1574","1610"
"1-7","導師與對上帝的信仰(之三)","是","1250","1267"
"1-8","人不可能了解上帝","是","543","551"
"1-9","濕婆神","否","754","757"
"1-10","關於能量測試(一)","是","1778","1794"
"1-11","關於能量測試(二)","是","1760","1774"
"1-12","純粹的知識","否","834","836"
"1-13","關於能量測試(三)","是","719","726"
"1-14","關於能量測試(四)","是","1870","1878"
"1-15","你的覺知必須成為 Paramchaitanya","是","1535","1547"
"1-16","精微的能量(Vibration)","是","792","798"
"1-17","濕婆神與濕婆神的崇拜者(上)","是","1221","1224"
"1-18","濕婆神與濕婆神的崇拜者(下)","是","1332","1334"
"1-19","從有形到無形------兼談普祭","是","1756","1765"
"1-20","無法感覺到涼風","否","993","1000"
"1-21","從物質的迷思談到普祭","是","1844","1854"
"1-22","普祭的秘密","是","768","745"
"2-1","2. 頂輪，太初之母，大幻相(Mahamaya) 2-1 錫呂瑪塔吉對兩個問題的回答","是","617","663"
"2-2","假如對母親有所不尊敬","否","258","259"
"2-3","錫呂瑪塔吉的一道考題-----什麼是你昇進的必要條件？","是","867","890"
"2-4","我想更上昇進，但却没有進步，怎麼辦？","否","414","418"
"2-5","大幻相 (Mahamaya)","是","1273","1312"
"2-6","大幻相的秘密 (上)","是","1695","1720"
"2-7","大幻相的秘密 (下)","是","1493","1508"
"2-8","體悟你自己的靈性(Realize Your Own Divinity)----- 真正從内心認出母親的途徑(註一)","是","1970","1987"
"2-9","靈性( Divinity) 與奇蹟","是","1345","1359"
"2-10","母親，請在我們的腦袋裏","是","1495","1506"
"2-11","太初之母","是","1424","1433"
"2-12","女神與求道者","是","1059","1061"
"2-13","昆達里尼( Kundalini)開啓頂輪的過程","是","1390","1408"
"2-14","昆達里尼穿越頭蓋骨之後","是","1740","1759"
"2-15","錫呂瑪塔吉回憶打開頂輪的種種（一）","是","1245","1268"
"2-16","錫呂瑪塔吉回憶打開頂輪的種種（二）","是","1176","1178"
"2-17","錫呂瑪塔吉回憶打開頂輪的種種（三）","是","1069","1069"
"2-18","太初之母和母親大地","是","1447","1460"
"2-19","你們都在我裡面","是","843","848"
"2-20","邪惡的魔鬼","是","949","947"
"2-21","錫呂瑪塔吉談到她的工作","是","1391","1401"
"3-1","溶入喜樂之中(Merge into Joy)","是","420","421"
"3-2","擴大你的中脈( Expanding Your Sushumna Nadi)","是","992","1004"
"3-3","你的昆達里尼( Kundalini )","是","1515","1539"
"3-4","你的昆達里尼( Kundalini )的寶藏","是","1087","1104"
"3-5","昆達里尼( Kundalini )上升的過程","是","1214","1228"
"3-6","你處在中脈嗎？","是","1173","1183"
"3-7","昆達里尼(靈量)的特質","是","698","704"
"3-8","需要知道昆達里尼的知識嗎？","是","880","888"
"3-9","昆達里尼像火一樣的特性","是","1032","1026"
"4-1","4. 自覺，昇進，修行，人的演化 4-1 學習所有霎哈嘉瑜伽的知識","否","551","558"
"4-2","從真我的知識 (Self knowledge)到真我的意識 (Self consciousness)","是","526","525"
"4-3","你所擁有的只是一種娛樂","否","272","275"
"4-4","霎哈嘉瑜伽和個人職業的衝突","是","593","595"
"4-5","為何你會喪失力量( Power)","否","591","597"
"4-6","内涵才是重點-----以謙卑為例","是","1118","1128"
"4-7","你曾有許多老婆(丈夫)，但沒有過自覺","是","466","473"
"4-8","錫呂瑪塔吉，大堡礁，人類","是","871","885"
"4-9","石頭、動物、原始人與知識的禁果","是","1562","1574"
"4-10","愉悅來面對不利的情境","是","662","675"
"4-11","你必須當你自己的導師","是","1004","1015"
"4-12","走出 ""母親如此說"" 的枷鎖","是","1406","1427"
"4-13","不要當一個平庸的瑜伽士","是","973","973"
"4-14","十二種霎哈嘉練習者","是","1643","1665"
"4-15","摩訶拉希什米原理的喚醒(上)","否","909","916"
"4-16","摩訶拉希什米原理的精進(下)","是","1664","1665"
"4-17","覺醒的信心","是","2003","2008"
"4-18","瑜伽才是重點","是","1201","1206"
"4-19","從現實的牽掛走出來","是","1369","1375"
"4-20","神的自覺(God's Realization)","是","1712","1740"
"4-21","""神的自覺""不應是重點","是","828","849"
"4-22","頂輪之上是什麼？","否","733","742"
"4-23","霎哈嘉狀態-----自然而然的境界","是","2283","2310"
"4-24","五個元素(一)------其本質與顯化","是","2576","2602"
"4-25","五個元素(二)------相關的其他談話","是","1683","1710"
"4-26","右脈修行途徑的危險","是","1395","1403"
"4-27","從左脈的完成到發揮右脈的力量","是","1633","1638"
"4-28","克服貪婪的三個方法","是","1051","1056"
"4-29","霎哈嘉是你的風箏","是","678","688"
"4-30","錫呂瑪塔吉有關憤怒的談話","是","1132","1152"
"4-31","集體內宰制的問題","是","852","865"
"4-32","古代的聖人","是","1322","1327"
"4-33","真誠與內外的整合","是","1885","1888"
"5-1","不要去嘗試新的方法","否","532","576"
"5-2","Bandhan (班丹)","是","970","997"
"5-3","橫向的擴散(Horizontal Movement)","是","678","685"
"5-4","靜坐的力量(Meditative Force)","否","785","792"
"5-5","為什麼掌心有涼風就代表是真的？","是","738","751"
"5-6","太初靈量(Primordial Kundalini ) 與你的靈量","是","528","527"
"5-7","母親(Mahamaya)的輪穴與一個清潔輪穴的方法","否","522","530"
"5-8","靜坐與完成你自己","是","568","566"
"5-9","一個最簡單的深度靜坐法、回到中脈的方法","是","720","728"
"5-10","請靜坐，請每天靜坐","是","1819","1821"
"5-11","如何對付負面力量","是","471","476"
"5-12","一個測試自我及制約的方法","是","1005","1031"
"5-13","關於九步驟 （非譯文）","是","1177","1230"
"5-14","靜坐的關鍵在無思慮的靜觀","是","1419","1412"
"6-1","6. 靜觀，無思慮，注意力 6-1 你不應該有不純潔的目光","是","1059","1076"
"6-2","當下( The Present )","是","617","627"
"6-3","靜觀(Witness)","否","402","407"
"6-4","現代人的注意力與如何鞏固注意力","是","862","869"
"6-5","最重要的是看顧自己","是","798","801"
"6-6","霎哈嘉練習者要經常看報紙","否","462","467"
"6-7","你要採集荊棘還是花朶？","是","377","381"
"6-8","無思慮的覺知與當下","否","367","367"
"6-9","導師與無思慮(之一)","是","1391","1400"
"6-10","發揮運用你的注意力","否","471","476"
"6-11","用無思慮靜觀來超越你的想法","是","1270","1279"
"6-12","如何穩固你的注意力","是","1290","1296"
"6-13","用你的注意力來改進你自己","是","470","469"
"6-14","反應","是","1137","1140"
"6-15","達到無思慮狀態的練習方法","是","974","992"
"6-16","你的想法與觀念都是虚構的(上)","是","1424","1442"
"6-17","你的想法與觀念都是虚構的 (下)","是","1258","1260"
"6-18","注意力的訓練------Abhyasa","是","1706","1726"
"6-19","靜觀！停止你的反應","是","1059","1057"
"6-20","注意力(Attention)與牽掛(Attachment)","是","1069","1068"
"6-21","無思慮靜觀的空檔","是","634","647"
"7-1","有關相片的一些談話(之一)----我的相片是有能量的","是","1700","1717"
"7-2","有關相片的一些談話(之二)----""為什麼用妳的相片？""","是","1245","1252"
"7-3","有關相片的一些談話(之三)----不要對相片不禮貌","是","650","648"
"7-4","有關相片的一些談話(之四)-----一些知識","是","990","1007"
"7-5","有關相片的一些談話(之五)----蓮足的相片","否","772","777"
"7-6","有關相片的一些談話(之六)-----手的相片","是","449","458"
"7-7","介紹錫呂瑪塔吉的相片及蠟燭的方法之一（非譯文）","是","1122","1124"
"8-1","霎哈嘉瑜伽無法醫治那些人","是","744","792"
"8-2","血癌(Leukemia)的形成------霎哈嘉瑜伽的觀點","是","933","988"
"8-3","氣喘(Asthma)------霎哈嘉瑜伽的觀點","否","836","871"
"8-4","Shri Chakra 和 Lalita Chakra","是","615","619"
"8-5","不要治療他人，只需用我的相片","是","2392","2408"
"8-6","要去幫助他人","是","1299","1317"
"8-7","靈性的升進與身體的改善","是","669","675"
"8-8","如何治療身心病-----以淋巴系統爲例","是","870","965"
"8-9","陷入左脈是非常危險","是","824","745"
"8-10","有左脈問題的人不宜泡腳","是","2095","2126"
